OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350699"",""693JJ324NF-AIDDP"")","2023-2026 Accelerated Innovation Deployment (AID) Demonstration","DOT-FHWA","posted","10/24/2023","05/26/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/334259"",""MAPUTO-PCO-FY22-01"")","PEPFAR Community Led Monitoring – Mozambique Relief Programs","DOS-MOZ","forecasted","06/22/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355469"",""CDC-RFA-JG-25-0103"")","Ending HIV as a public health threat by sustaining and accelerating a comprehensive HIV response in India under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356017"",""RFA-CA-24-028"")","Limited Competition: AIDS Malignancy Consortium (AMC; UM1 Clinical Trial Required)","HHS-NIH11","posted","08/13/2024","01/10/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351604"",""PAR-24-080"")","Limited Competition: Revision Applications of Existing NIH Centers for AIDS Research (CFAR) and Developmental Centers for AIDS Research (D-CFAR) Grants (P30 Clinical Trial Not Allowed)","HHS-NIH11","posted","12/20/2023","10/09/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356588"",""72038824RFA00009"")","Communities for Gender Equality (CGE) Activity under Addendum to JRS APS: 7200AA22APS00007","USAID-BAN","posted","09/29/2024","11/05/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354776"",""HRSA-25-046"")","AIDS Drug Assistance Program (ADAP) Emergency Relief Funds (ERF)","HHS-HRSA","posted","09/03/2024","11/04/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/327345"",""MAPUTO-PCO-20-001"")","Community Led Monitoring Intervention","DOS-MOZ","forecasted","05/27/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351920"",""PAR-24-129"")","Limited Competition: Specific Pathogen Free Macaque Colonies to Support HIV/AIDS Research (U42 Clinical Trial Not Allowed)","HHS-NIH11","posted","01/22/2024","01/07/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355177"",""PAR-24-233"")","NIMH Research Education Mentoring Program for HIV Researchers (R25 Clinical Trial Not Allowed)","HHS-NIH11","posted","06/27/2024","09/07/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355471"",""CDC-RFA-JG-25-0102"")","Strengthening integrated HIV and STI tiered laboratory network through continuous quality improvement, surveillance, laboratory data management in India under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354790"",""HRSA-25-061"")","AIDS Education and Training Center National Clinician Consultation Center","HHS-HRSA","forecasted","06/07/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355659"",""CDC-RFA-JG-25-0094"")","Capacity building, technical assistance and workforce training to rapidly and effectively address health threats and to accelerate the response to HIV in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/346745"",""PAR-23-116"")","Centers for AIDS Research (P30 Clinical Trial Not Allowed)","HHS-NIH11","posted","03/09/2023","08/04/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353125"",""PAR-24-165"")","AIDS Research Center on Mental Health and HIV/AIDS (P30 Clinical Trial Optional)","HHS-NIH11","posted","03/22/2024","08/25/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353124"",""PAR-24-164"")","Developmental AIDS Research Center on Mental Health and HIV/AIDS (P30 Clinical Trial Optional)","HHS-NIH11","posted","03/22/2024","08/25/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/346747"",""PAR-23-117"")","Developmental Centers for AIDS Research (P30 Clinical Trial Not Allowed)","HHS-NIH11","posted","03/09/2023","08/04/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/252969"",""AID-263-14-000005"")","US-Egypt Learning Program","USAID-EGY","posted","03/25/2014",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/301104"",""AID-279-PSN-18-00001"")","Pre-solicitation Notice - Yemen Communities Together","USAID","forecasted","02/28/2018",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356751"",""NOAA-OAR-SG-2025-28975"")","FY2025 National Aquaculture Initiative: Strengthening U.S. Coastal, Marine, and Great Lakes Aquaculture Through Business Support","DOC-DOCNOAAERA","posted","10/17/2024","02/12/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356843"",""NOAA-OAR-SG-2025-28993"")","Sea Grant Programs Only - FY2025 Aquaculture Internship Programs","DOC-DOCNOAAERA","posted","10/25/2024","01/29/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/323740"",""2020-NIST-MEP-MDAP-01"")","NIST MEP Disaster Assessment Program","DOC-NIST","posted","01/17/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352303"",""720674RFA00006"")","USAID/Lesotho Bophelo Bo Botle (Good Health) Activity","USAID-SAF","forecasted","02/12/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356525"",""72066824RFI00002"")","USAID South Sudan Peace Building and Independent Media (PBIM) Activity.","USAID-SSD","forecasted","09/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/302225"",""720FDA18APS00001"")","Augmenting Capacity for Humanitarian Emergencies of Infectious Diseases ","USAID","posted","03/27/2018",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350612"",""F24AS00431"")","F24AS00431 FY24 Recovery Implementation","DOI-FWS","posted","10/18/2023","12/31/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356615"",""72039125RFI00001"")","Human Rights Activity","USAID-PAK","forecasted","10/02/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356845"",""OFOP0001651"")","Strengthening Rule of Law and Criminal Defense Services in Georgia","DOS-INL","posted","10/25/2024","12/13/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337347"",""SMK800-22-PAS002"")","2022 Alumni Engagement Innovation Fund (AEIF 2022)","DOS-MKD","forecasted","04/04/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350615"",""F24AS00074"")","F24AS00074 FY24 Candidate Species Conservation","DOI-FWS","posted","10/18/2023","12/31/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355864"",""HHS-2025-ACL-AOD-DNCE-0063"")","Projects of National Significance: Achieving Economic Mobility","HHS-ACL","forecasted","08/02/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354778"",""HRSA-25-048"")","Ryan White HIV/AIDS Program States/Territories Part B Supplemental Grant Program","HHS-HRSA","forecasted","06/07/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/322814"",""AFCP20"")","AFCP 2020 Small Grants Competition","DOS-EGY","forecasted","12/02/2019",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/310894"",""72027919RFA00001"")","Request for Information (RFI) Inclusive Peace and Political Transition Processes Strengthened (PPTP)","USAID-YEM","forecasted","12/06/2018",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356085"",""CDC-RFA-JG-25-0143"")","Expanding Efforts and Strategies to Protect and Improve Global Health Security in Kenya","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349472"",""HHS-2024-ACL-AOD-DNCE-0023"")","Projects of National  Significance: Achieving Economic Mobility","HHS-ACL","forecasted","07/20/2023",""
