OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347990"",""PAR-23-202"")","Vet-LIRN Capacity-Building Project and Equipment Grants (U18)","HHS-FDA","posted","05/18/2023","09/04/2028"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355276"",""RFI-278-24-PFH-PDR-PHC"")","Jordan RFI/SSN: Prevent, Detect, Respond - Primary Health Care (PDR-PHC) Activity","USAID-JOR","forecasted","07/08/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356082"",""CDC-RFA-JG-25-0139"")","Support Ethiopia's Capacity to Meet International Health Regulations Requirements","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356083"",""CDC-RFA-JG-25-0140"")","Enhancing Capacity & Accelerating Sustainability of Public Health Systems in India to Prevent, Detect and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356091"",""CDC-RFA-JG-25-0154"")","Tanzania Global Health Security Partner Engagement: Advancing Efforts and Strategies to Protect and Improve Public Health","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/309813"",""7200AA19RFA00004"")","One Health Workforce (OHW) Next Generation","USAID","posted","10/22/2018",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356765"",""72052725RFA00001"")","Strengthening Systems for Health Security Activity (SSHS)","USAID-PER","posted","10/18/2024","12/16/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351526"",""USDA-NIFA-AFRI-010453"")","Agriculture and Food Research Initiative Competitive Grants Program Foundational and Applied Science Program","USDA-NIFA","posted","12/15/2023","12/31/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356589"",""72039124RFA00002"")","Global Health Security (GHS) Activity","USAID-PAK","posted","09/30/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351301"",""72044024RFI00001"")","USAID Strengthening Local Health Security Activity","USAID-VIE","forecasted","12/05/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356858"",""DFOP0016988"")","Build Partner Capabilities to Protect Critical Advanced and Emerging Technologies","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356864"",""DFOP0016986"")","Advancing Nuclear Safety, Security, and Nonproliferation through the FIRST Program","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356866"",""DFOP0016992"")","Build Partner Capabilities to Counter the Russian Federation’s Chemical and Biological Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356857"",""DFOP0016984"")","Build Partner Resilience to Counter Proliferator State Hybrid Threats in the Nonproliferation Arena","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356862"",""DFOP0016991"")","Countering WMD and UAS Threats in Iraq","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356867"",""DFOP0016994"")","Nonproliferation Scientist Engagement Program","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356860"",""DFOP0016985"")","Countering Proliferator State Advanced Conventional Weapons Proliferation","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356863"",""DFOP0016993"")","Countering the Russian Federation’s Sanctions Evasion Activities","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356859"",""DFOP0016989"")","Build Partner Capabilities to Counter Global Biological Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356856"",""DFOP0016987"")","Build Partner Capabilities to Protect Semiconductor and CHIPS Technology","DOS-ISN","posted","10/25/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356861"",""DFOP0016990"")","Building Partner Capacity to Counter Chemical Weapons Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356865"",""DFOP0016995"")","Countering DPRK and Iran’s WMD, UAS, and Missile Proliferation","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355947"",""72048624RFI00002"")","Request for Information-USAID/RDMA Thailand HIV Key Population Civil Society Organization Leadership","USAID-THA","posted","08/08/2024","10/31/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328144"",""RFI-685-20-IHSHCS-01"")","Improving Health Status and Human Capital in Senegal Activity","USAID-SEN","forecasted","07/17/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/312434"",""7200AA19APS00001"")","Local Organizations Network Project (LON)","USAID","posted","01/29/2019","09/28/2029"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")","UNIVERSAL HEALTH CARE PROJECT APS","USAID-PHI","posted","08/01/2023","07/31/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/330175"",""FA7000-21-S-0001"")","Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021)","DOD-USAFA","posted","12/02/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356434"",""72066024RFA00006"")","USAID Accelerator Activity","USAID-DEM","posted","09/17/2024","10/30/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356403"",""HR001124S0034"")","Biological Technologies","DOD-DARPA-BTO","posted","09/11/2024","09/10/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354285"",""7200AA24APS00006"")","Locally Led Development Annual Program Statement (LLD-APS)","USAID","posted","05/17/2024","05/16/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356642"",""72066924RFA00002"")","Advancing Community Health Activity (ACHA)","USAID-LIB","posted","10/07/2024","11/21/2024"
