OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355639"",""HRSA-25-028"")","Partnership for National Maternal and Child Health (MCH) Leadership","HHS-HRSA","posted","10/03/2024","01/03/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/339281"",""PAR-22-161"")","Cancer Epidemiology Cohorts: Building the Next Generation of Research Cohorts (U01 Clinical Trial Not Allowed)","HHS-NIH11","posted","04/07/2022","02/28/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356092"",""CDC-RFA-JG-25-0157"")","Strengthening Regional Field Epidemiology Training Program (FETP) Networks in Thailand","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356177"",""CDC-RFA-JG-25-0174"")","Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation","HHS-CDC-GHC","forecasted","08/23/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/339464"",""PAR-22-162"")","Research Opportunities in Established Cancer Epidemiology Cohort Studies (U01 Clinical Trial Not Allowed)","HHS-NIH11","posted","04/13/2022","02/28/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350921"",""PAR-24-062"")","Phased Research to Support Substance Use Epidemiology, Prevention, and Services Studies (R61/R33 Clinical Trials Optional)","HHS-NIH11","posted","11/07/2023","12/14/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353968"",""RFA-EH-25-011"")","Environmental Health Specialists Network (EHS-Net) Practice-based Research to Improve Food Safety","HHS-CDC-HHSCDCERA","posted","08/29/2024","12/02/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355471"",""CDC-RFA-JG-25-0102"")","Strengthening integrated HIV and STI tiered laboratory network through continuous quality improvement, surveillance, laboratory data management in India under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356082"",""CDC-RFA-JG-25-0139"")","Support Ethiopia's Capacity to Meet International Health Regulations Requirements","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356230"",""CDC-RFA-JG-25-0173"")","Strengthening and Developing of Sustainable Global Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation","HHS-CDC-GHC","forecasted","08/27/2024",""
