OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343653"",""W81XWH-22-DHAPP"")","Department of Defense HIV/AIDS Prevention Program","DOD-AMRAA","posted","09/19/2022","09/18/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356343"",""CDC-RFA-PS-25-0165"")","Integrated HIV Programs for Tennessee Community-Based Organizations to Support Ending the HIV Epidemic in the United States","HHS-CDC-NCHHSTP","forecasted","09/05/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/327345"",""MAPUTO-PCO-20-001"")","Community Led Monitoring Intervention","DOS-MOZ","forecasted","05/27/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354782"",""HRSA-25-052"")","Ryan White HIV/AIDS Program Part C Early Intervention Services Program: Limited Existing Geographic Service Areas","HHS-HRSA","posted","10/08/2024","12/10/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/334259"",""MAPUTO-PCO-FY22-01"")","PEPFAR Community Led Monitoring – Mozambique Relief Programs","DOS-MOZ","forecasted","06/22/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355478"",""CDC-RFA-JG-25-0044"")","Engaging faith-based organizations to control the HIV epidemic and related health threats in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355518"",""CDC-RFA-JG-25-0099"")","Supporting the implementation of comprehensive HIV prevention and treatment programs to achieve and sustain epidemic control in Zimbabwe under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/19/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355448"",""CDC-RFA-JG-25-0067"")","Building capacity along the continuum from prevention to care and treatment in the Central American region under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354694"",""CDC-RFA-PS-25-0023"")","Demonstration Projects for Comprehensive and Integrated HIV Care, Treatment, Prevention and Essential Support Service Models for Cis-gender Black Women (CgBW) in the South","HHS-CDC-NCHHSTP","forecasted","06/04/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355657"",""CDC-RFA-JG-25-0082"")","Through technical assistance, support the Ministry of Health (MOH) to implement national HIV policies and quality programs across the HIV clinical and prevention cascade in public health facilities in Botswana under PEPFAR","HHS-CDC-GHC","forecasted","07/25/2024",""
