OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/327345"",""MAPUTO-PCO-20-001"")","Community Led Monitoring Intervention","DOS-MOZ","forecasted","05/27/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355518"",""CDC-RFA-JG-25-0099"")","Supporting the implementation of comprehensive HIV prevention and treatment programs to achieve and sustain epidemic control in Zimbabwe under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/19/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355654"",""CDC-RFA-JG-25-0061"")","Capacity building and technical assistance for sustainable community-led monitoring (CLM) of HIV services in Sierra Leone (SL) under the President’s Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356147"",""72062424RFA00010"")","Closing inequities in HIV Prevention, Care and Treatment among key populations in Burkina Faso Activity (Equity KP Burkina Faso)","USAID-WAF","posted","08/21/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356146"",""72062424RFA00009"")","Closing inequities in HIV Prevention, Care and Treatment among key populations in Togo Activity (Equity KP Togo)","USAID-WAF","posted","08/21/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/334259"",""MAPUTO-PCO-FY22-01"")","PEPFAR Community Led Monitoring – Mozambique Relief Programs","DOS-MOZ","forecasted","06/22/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355655"",""CDC-RFA-JG-25-0062"")","Providing targeted technical assistance to the HIV/TB prevention-care-treatment continuum using cost efficient and scalable quality improvement approaches to address program gaps in support of sustainable HIV services in Zambia under PEPFAR","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343653"",""W81XWH-22-DHAPP"")","Department of Defense HIV/AIDS Prevention Program","DOD-AMRAA","posted","09/19/2022","09/18/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356343"",""CDC-RFA-PS-25-0165"")","Integrated HIV Programs for Tennessee Community-Based Organizations to Support Ending the HIV Epidemic in the United States","HHS-CDC-NCHHSTP","forecasted","09/05/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355448"",""CDC-RFA-JG-25-0067"")","Building capacity along the continuum from prevention to care and treatment in the Central American region under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345342"",""PAR-23-062"")","Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R01 Clinical Trial Optional)","HHS-NIH11","posted","01/10/2023","01/09/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345341"",""PAR-23-061"")","Innovations to Optimize HIV Prevention and Care Continuum Outcomes (R21 Clinical Trial Optional)","HHS-NIH11","posted","01/10/2023","01/09/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/329343"",""RFI-613-21-000001"")","Support to Zimbabwe's Programs for HIV prevention, Care and Treatment","USAID-ZIM","forecasted","10/06/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/333432"",""PA-21-205"")","Development and Testing of Novel Interventions to improve HIV Prevention, Treatment, and Program Implementation for People Who Use Drugs (R34 Clinical Trial Required)","HHS-NIH11","posted","05/10/2021","01/07/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348090"",""PAS-23-172"")","HIV Prevention and Alcohol (R34 Clinical Trials Optional)","HHS-NIH11","posted","05/12/2023","05/07/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345340"",""PAR-23-060"")","Formative and Pilot Intervention Research to Optimize HIV Prevention and Care Continuum Outcomes (R34 Clinical Trial Optional)","HHS-NIH11","posted","01/10/2023","01/09/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/336745"",""NOT-MH-22-021"")","Notice of Intent to Publish a Funding Opportunity Announcement for Improving Uptake and Use of the Dapivirine Vaginal Ring for HIV Prevention (R21 Clinical Trial Optional)","HHS-NIH11","forecasted","11/29/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343877"",""RFI-265-0922"")","Request for Information for USAID/Malawi VMMC Service  Delivery Provision Activity","USAID-MLW","forecasted","10/03/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355451"",""CDC-RFA-JG-25-0069"")","Improving prevention, treatment, and care services for HIV and TB for target populations in the Dominican Republic under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355477"",""CDC-RFA-JG-25-0045"")","Strengthening civil society organizations' capacity and coordination for accelerated HIV epidemic control in Uganda through supporting implementation of comprehensive HIV/AIDS prevention and treatment for key and priority populations under PEPFAR","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355657"",""CDC-RFA-JG-25-0082"")","Through technical assistance, support the Ministry of Health (MOH) to implement national HIV policies and quality programs across the HIV clinical and prevention cascade in public health facilities in Botswana under PEPFAR","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354790"",""HRSA-25-061"")","AIDS Education and Training Center National Clinician Consultation Center","HHS-HRSA","forecasted","06/07/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355653"",""CDC-RFA-JG-25-0060"")","Strengthening the national HIV care and treatment program in Sierra Leone (SL) to accelerate progress to achieve epidemic control Under the President’s Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355904"",""RFA-PS-25-113"")","Developing and Testing Pilot Prevention Interventions to Reduce Sexual Risk Behavior and Enhance PrEP Use among HIV-negative Black and Hispanic Substance-using Gay, Bisexual, and Other MSM","HHS-CDC-HHSCDCERA","forecasted","08/06/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348094"",""PAS-23-173"")","HIV Prevention and Alcohol (R01 Clinical Trials Optional)","HHS-NIH11","posted","05/12/2023","05/07/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355917"",""CDC-RFA-JG-25-0059"")","Sustaining HIV services for key populations (KPs) through enhanced differentiated testing, treatment and prevention approaches, strategic information utilization, and continuous support to Ukraine Public Health Center (UPHC) under PEPFAR","HHS-CDC-GHC","forecasted","08/07/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355478"",""CDC-RFA-JG-25-0044"")","Engaging faith-based organizations to control the HIV epidemic and related health threats in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355467"",""CDC-RFA-JG-25-0078"")","Sustaining HIV and TB epidemic control in Lesotho through health system strengthening and technical assistance under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355486"",""CDC-RFA-JG-25-0092"")","Strengthening comprehensive HIV and TB services and health systems in high-burden areas of Namibia under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355468"",""CDC-RFA-JG-25-0088"")","Implementation of integrated, resilient and sustainable health and laboratory quality systems for HIV/TB epidemic control in the Republic of Kenya under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355659"",""CDC-RFA-JG-25-0094"")","Capacity building, technical assistance and workforce training to rapidly and effectively address health threats and to accelerate the response to HIV in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/25/2024",""
