OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351422"",""72067424RFA00001"")","Health Financing and Public Financial Management Systems Strengthening Activity in South Africa","USAID-SAF","forecasted","12/11/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351759"",""72049724RFI00002"")","Health System Strengthening (HSS) Flagship Activity in Indonesia","USAID-IND","forecasted","01/10/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355468"",""CDC-RFA-JG-25-0088"")","Implementation of integrated, resilient and sustainable health and laboratory quality systems for HIV/TB epidemic control in the Republic of Kenya under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343101"",""RFI-674-22-SAHEALTHFINANCINGACTIVITY"")","South Africa Health Financing Activity","USAID-SAF","forecasted","08/12/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/331378"",""HSS-RFI-615-21-000001"")","Request for Information_USAID|Kenya and East Africa/ Health Systems Strengthening (HSS) Project_Redesign","USAID-KEN","forecasted","02/08/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/330125"",""RFI-GH-21-002"")","PROPEL Health Project (Promoting Results and Outcomes through Policy and Economic Levers)","USAID","forecasted","11/30/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/336878"",""7200AA22APS00002"")","Promoting Results and Outcomes through Policy and Economic Levers (PROPEL)","USAID","posted","12/07/2021","11/30/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347114"",""RFI-GH-OHS-23-0001"")","Integrated Health Systems Strengthening Activity, Bureau for Global Health, Office of Health Systems","USAID","forecasted","03/24/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356671"",""72062024RFA00009"")","USAID Primary Health Care Improvement Program (UPHIP)","USAID-NIG","posted","10/09/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338128"",""72067522APS00002"")","Guinea Local Health System Strengthening (GLHSS)","USAID-GUI","posted","02/16/2022","02/25/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328144"",""RFI-685-20-IHSHCS-01"")","Improving Health Status and Human Capital in Senegal Activity","USAID-SEN","forecasted","07/17/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/331568"",""7200AA21APS00005"")","Frontier Health Markets APS","USAID","posted","02/25/2021","02/24/2028"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343413"",""RFI-EOI-USAID-BURMA-HESP"")","Request for Information (RFI) and Expression of Interest (EOI) on USAID/Burma Higher Education Scholarship Program Activity","USAID-BMA","forecasted","09/09/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352469"",""7200AA2400010"")","USAID Integrated Health Systems Strengthening Activity (IHSS) - RFI #2","USAID","forecasted","02/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/275168"",""SOL-OAA-15-000054"")","Annual Program Statement - Policy, Advocacy, and Communication Enhanced  for Population and Reproductive Health (PACE)","USAID","posted","03/13/2015","03/12/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/309813"",""7200AA19RFA00004"")","One Health Workforce (OHW) Next Generation","USAID","posted","10/22/2018",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")","UNIVERSAL HEALTH CARE PROJECT APS","USAID-PHI","posted","08/01/2023","07/31/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345910"",""72049723APS00001-AND-ADDENDUMS"")","Accelerating Elimination of Tuberculosis (TB) in Indonesia","USAID-IND","posted","02/09/2023",""
