OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355158"",""HT942524TERPTRA"")","Toxic Exposures Translational Research Award","DOD-AMRAA","posted","06/26/2024","11/07/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355156"",""HT942524TERPCTA"")","Toxic Exposures Clinical Trial Award","DOD-AMRAA","posted","06/26/2024","11/07/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354236"",""HT942524VRPIIRA"")","DoD VRP, Investigator-Initiated Research Award","DOD-AMRAA","posted","05/16/2024","11/08/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356099"",""HT942524ATRPCRA"")","DoD Arthritis Research, Clinical Research Award","DOD-AMRAA","posted","08/16/2024","10/30/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354238"",""HT942524VRPTRA"")","DoD VRP, Translational Research Award","DOD-AMRAA","posted","05/16/2024","11/08/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354233"",""HT942524VRPCTA"")","DoD VRP, Clinical Trial Award","DOD-AMRAA","posted","05/16/2024","11/08/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354235"",""HT942524VRPFTTSA"")","DoD VRP, Focused Translational Team Science Award","DOD-AMRAA","posted","05/16/2024","11/08/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355155"",""HT942524TERPIIRA"")","Toxic Exposures Investigator-Initiated Research Award","DOD-AMRAA","posted","06/26/2024","11/07/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355487"",""HT9425S24CRRPTRA"")","DoD Combat Readiness - Medical, Translational Research Award","DOD-AMRAA","posted","07/18/2024","12/05/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343725"",""HT942523SBAA1"")","DOD USAMRDC FY23-FY27 BROAD AGENCY ANNOUNCEMENT for Extramural Medical Research","DOD-AMRAA","posted","09/22/2022","09/30/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328814"",""RFI-278-20-HSQA"")","Health Service Quality Accelerator","USAID-JOR","forecasted","08/27/2020",""
