OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347114"",""RFI-GH-OHS-23-0001"")","Integrated Health Systems Strengthening Activity, Bureau for Global Health, Office of Health Systems","USAID","forecasted","03/24/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338128"",""72067522APS00002"")","Guinea Local Health System Strengthening (GLHSS)","USAID-GUI","posted","02/16/2022","02/25/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351759"",""72049724RFI00002"")","Health System Strengthening (HSS) Flagship Activity in Indonesia","USAID-IND","forecasted","01/10/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355467"",""CDC-RFA-JG-25-0078"")","Sustaining HIV and TB epidemic control in Lesotho through health system strengthening and technical assistance under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337250"",""PRE-SOLICITATION-675-22-000001"")","Pre-Solicitation Notice - Guinea Local Health System Strengthening","USAID-GUI","posted","01/06/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")","UNIVERSAL HEALTH CARE PROJECT APS","USAID-PHI","posted","08/01/2023","07/31/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342948"",""72049222-OH-SSN-00001"")","USAID/Philippines Integrated Health Project","USAID-PHI","forecasted","08/04/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352303"",""720674RFA00006"")","USAID/Lesotho Bophelo Bo Botle (Good Health) Activity","USAID-SAF","forecasted","02/12/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355478"",""CDC-RFA-JG-25-0044"")","Engaging faith-based organizations to control the HIV epidemic and related health threats in the Republic of Uganda under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355655"",""CDC-RFA-JG-25-0062"")","Providing targeted technical assistance to the HIV/TB prevention-care-treatment continuum using cost efficient and scalable quality improvement approaches to address program gaps in support of sustainable HIV services in Zambia under PEPFAR","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356084"",""CDC-RFA-JG-25-0141"")","Building and Strengthening Public Health Systems, Impact, and Capacity in Indonesia through Partner Collaboration","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/331378"",""HSS-RFI-615-21-000001"")","Request for Information_USAID|Kenya and East Africa/ Health Systems Strengthening (HSS) Project_Redesign","USAID-KEN","forecasted","02/08/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352469"",""7200AA2400010"")","USAID Integrated Health Systems Strengthening Activity (IHSS) - RFI #2","USAID","forecasted","02/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/293766"",""RFI-492-17-OH-002"")","Tuberculosis Innovations and Health Systems Strengthening in the Philippines","USAID-PHI","forecasted","05/12/2017",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/336878"",""7200AA22APS00002"")","Promoting Results and Outcomes through Policy and Economic Levers (PROPEL)","USAID","posted","12/07/2021","11/30/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356858"",""DFOP0016988"")","Build Partner Capabilities to Protect Critical Advanced and Emerging Technologies","DOS-ISN","posted","10/26/2024","01/17/2025"
