OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351759"",""72049724RFI00002"")","Health System Strengthening (HSS) Flagship Activity in Indonesia","USAID-IND","forecasted","01/10/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355486"",""CDC-RFA-JG-25-0092"")","Strengthening comprehensive HIV and TB services and health systems in high-burden areas of Namibia under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355659"",""CDC-RFA-JG-25-0094"")","Capacity building, technical assistance and workforce training to rapidly and effectively address health threats and to accelerate the response to HIV in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355655"",""CDC-RFA-JG-25-0062"")","Providing targeted technical assistance to the HIV/TB prevention-care-treatment continuum using cost efficient and scalable quality improvement approaches to address program gaps in support of sustainable HIV services in Zambia under PEPFAR","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355446"",""CDC-RFA-JG-25-0049"")","Human resources for health (HRH) to achieve and sustain TB/HIV epidemic control in Malawi under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/17/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328144"",""RFI-685-20-IHSHCS-01"")","Improving Health Status and Human Capital in Senegal Activity","USAID-SEN","forecasted","07/17/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")","UNIVERSAL HEALTH CARE PROJECT APS","USAID-PHI","posted","08/01/2023","07/31/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356671"",""72062024RFA00009"")","USAID Primary Health Care Improvement Program (UPHIP)","USAID-NIG","posted","10/09/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342948"",""72049222-OH-SSN-00001"")","USAID/Philippines Integrated Health Project","USAID-PHI","forecasted","08/04/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343101"",""RFI-674-22-SAHEALTHFINANCINGACTIVITY"")","South Africa Health Financing Activity","USAID-SAF","forecasted","08/12/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/328814"",""RFI-278-20-HSQA"")","Health Service Quality Accelerator","USAID-JOR","forecasted","08/27/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356858"",""DFOP0016988"")","Build Partner Capabilities to Protect Critical Advanced and Emerging Technologies","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356864"",""DFOP0016986"")","Advancing Nuclear Safety, Security, and Nonproliferation through the FIRST Program","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356866"",""DFOP0016992"")","Build Partner Capabilities to Counter the Russian Federation’s Chemical and Biological Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
