OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355880"",""CDC-RFA-DP-25-0014"")","Public Health Strategies to Address Alzheimer's Disease and Related Dementias: The National Healthy Brain Initiative, BOLD Public Health Centers of Excellence, and Public Health Adoption Accelerator","HHS-CDC-NCCDPHP","forecasted","08/05/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337086"",""CDC-RFA-TP22-2201"")","Public Health Crisis Response Cooperative Agreement","HHS-CDC-OPHPR","posted","01/13/2022","11/19/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355480"",""CDC-RFA-JG-25-0071"")","Advancing national epidemiologic, surveillance, research and laboratory capacities and systems to support a sustainable and resilient response to HIV/TB and related public health threats in the Kingdom of Eswatini under PEPFAR","HHS-CDC-GHC","forecasted","07/18/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355659"",""CDC-RFA-JG-25-0094"")","Capacity building, technical assistance and workforce training to rapidly and effectively address health threats and to accelerate the response to HIV in the United Republic of Tanzania under the President's Emergency Plan for AIDS Relief (PEPFAR)","HHS-CDC-GHC","forecasted","07/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356092"",""CDC-RFA-JG-25-0157"")","Strengthening Regional Field Epidemiology Training Program (FETP) Networks in Thailand","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356083"",""CDC-RFA-JG-25-0140"")","Enhancing Capacity & Accelerating Sustainability of Public Health Systems in India to Prevent, Detect and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355635"",""HRSA-25-025"")","Maternal and Child Health Public Health Catalyst Program","HHS-HRSA","posted","10/25/2024","01/23/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356177"",""CDC-RFA-JG-25-0174"")","Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation","HHS-CDC-GHC","forecasted","08/23/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356259"",""CDC-RFA-JG-25-0176"")","Protecting and Improving Global Public Health: Strengthening and Sustaining Public Health Systems in Ghana","HHS-CDC-GHC","forecasted","08/29/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352988"",""ARPA-H-SOL-24-103"")","Resilient Systems Office: Office-Wide Innovative Solutions Opening for Advanced Research Projects Agency for Health","HHS-ARPAH","posted","03/14/2024","03/14/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355957"",""CDC-RFA-CK-25-0128"")","Reducing the burden of parasitic infections in the United States through evidence-based prevention and control activities","HHS-CDC-NCEZID","forecasted","08/08/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355879"",""CDC-RFA-DP-25-0118"")","Enhancing and Modernizing the US Vision and Eye Health Surveillance System","HHS-CDC-NCCDPHP","forecasted","08/05/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355935"",""CDC-RFA-CK-25-0018"")","Modeling Infectious Diseases in Healthcare (MInD Healthcare) to Improve Pathogen Prevention and Healthcare Delivery","HHS-CDC-NCEZID","forecasted","08/07/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356261"",""CDC-RFA-JG-25-0169"")","Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon","HHS-CDC-GHC","forecasted","08/29/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356230"",""CDC-RFA-JG-25-0173"")","Strengthening and Developing of Sustainable Global Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation","HHS-CDC-GHC","forecasted","08/27/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356090"",""CDC-RFA-JG-25-0152"")","Strengthening Public Health Systems in Sierra Leone","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356084"",""CDC-RFA-JG-25-0141"")","Building and Strengthening Public Health Systems, Impact, and Capacity in Indonesia through Partner Collaboration","HHS-CDC-GHC","forecasted","08/15/2024",""
