OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/345910"",""72049723APS00001-AND-ADDENDUMS"")","Accelerating Elimination of Tuberculosis (TB) in Indonesia","USAID-IND","posted","02/09/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356756"",""72048225RFA00001"")","BURMA: Resilient Tuberculosis Response in Myanmar (RTBR) Activity","USAID-BMA","posted","10/18/2024","12/17/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/293766"",""RFI-492-17-OH-002"")","Tuberculosis Innovations and Health Systems Strengthening in the Philippines","USAID-PHI","forecasted","05/12/2017",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355430"",""RFA-AI-24-049"")","Halting Tuberculosis (TB) Transmission (R01 Clinical Trial Optional)","HHS-NIH11","posted","07/17/2024","12/04/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342948"",""72049222-OH-SSN-00001"")","USAID/Philippines Integrated Health Project","USAID-PHI","forecasted","08/04/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")","UNIVERSAL HEALTH CARE PROJECT APS","USAID-PHI","posted","08/01/2023","07/31/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343653"",""W81XWH-22-DHAPP"")","Department of Defense HIV/AIDS Prevention Program","DOD-AMRAA","posted","09/19/2022","09/18/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351759"",""72049724RFI00002"")","Health System Strengthening (HSS) Flagship Activity in Indonesia","USAID-IND","forecasted","01/10/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/292100"",""RFI-492-17-OH-001"")","Advancing TB Prevention, Detection and Treatment in the Philippines","USAID-PHI","forecasted","02/28/2017",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343053"",""PAR-22-223"")","Identifying Host Cell Death Pathway Targets for Host-Directed Therapies for Treatment of Mtb and Mtb/HIV Co-Infection (R01 Clinical Trial Not Allowed)","HHS-NIH11","posted","08/09/2022","12/07/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/340768"",""PAR-22-185"")","Resources Access for Preclinical Integrated Drug Development (RAPIDD) Program (X01 Clinical Trial Not Allowed)","HHS-NIH11","posted","05/27/2022","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347224"",""PAR-23-148"")","Pulmonary Outcomes and Sequelae after Treatment-TB (POST-TB) (R01 Clinical Trial Optional)","HHS-NIH11","posted","03/30/2023","05/07/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/312434"",""7200AA19APS00001"")","Local Organizations Network Project (LON)","USAID","posted","01/29/2019","09/28/2029"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356589"",""72039124RFA00002"")","Global Health Security (GHS) Activity","USAID-PAK","posted","09/30/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/331568"",""7200AA21APS00005"")","Frontier Health Markets APS","USAID","posted","02/25/2021","02/24/2028"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356765"",""72052725RFA00001"")","Strengthening Systems for Health Security Activity (SSHS)","USAID-PER","posted","10/18/2024","12/16/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356434"",""72066024RFA00006"")","USAID Accelerator Activity","USAID-DEM","posted","09/17/2024","10/30/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/133033"",""RFA-674-12-000002"")","Systems Strengthening for Better HIV/TB Patient Outcomes","USAID-SAF","posted","12/07/2011",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354472"",""72069524RFA00004"")","Notice of Funding Opportunity for Kira Ukuze Activity","USAID-BUR","forecasted","05/28/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/330535"",""720-621-21-RFI-00001"")","RFI - Orphans and Vulnerable Children (OVC) Next Generation, Tanzania","USAID-TAN","forecasted","12/21/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/318376"",""7200AA19APS00013"")","New Partnerships Initiative (NPI) – Global Health","USAID","posted","07/12/2019","09/30/2030"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338750"",""72069522RFI00001"")","HIV/AIDS Activities","USAID-BUR","forecasted","03/17/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354426"",""72030624RFI00006"")","USAID/Afghanistan New Health Activity","USAID-AFG","forecasted","05/22/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343101"",""RFI-674-22-SAHEALTHFINANCINGACTIVITY"")","South Africa Health Financing Activity","USAID-SAF","forecasted","08/12/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352724"",""7200AA24RFI00011"")","RFI: USAID/Washington Digital Health, Information Systems, and Data Use Request for Information","USAID","forecasted","03/01/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355947"",""72048624RFI00002"")","Request for Information-USAID/RDMA Thailand HIV Key Population Civil Society Organization Leadership","USAID-THA","posted","08/08/2024","10/31/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/336878"",""7200AA22APS00002"")","Promoting Results and Outcomes through Policy and Economic Levers (PROPEL)","USAID","posted","12/07/2021","11/30/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/354782"",""HRSA-25-052"")","Ryan White HIV/AIDS Program Part C Early Intervention Services Program: Limited Existing Geographic Service Areas","HHS-HRSA","posted","10/08/2024","12/10/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356147"",""72062424RFA00010"")","Closing inequities in HIV Prevention, Care and Treatment among key populations in Burkina Faso Activity (Equity KP Burkina Faso)","USAID-WAF","posted","08/21/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356146"",""72062424RFA00009"")","Closing inequities in HIV Prevention, Care and Treatment among key populations in Togo Activity (Equity KP Togo)","USAID-WAF","posted","08/21/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/228973"",""RFA-391-13-000009"")","Child, Newborn, and Maternal Health Project","USAID-PAK","posted","04/03/2013",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/331378"",""HSS-RFI-615-21-000001"")","Request for Information_USAID|Kenya and East Africa/ Health Systems Strengthening (HSS) Project_Redesign","USAID-KEN","forecasted","02/08/2021",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/337733"",""72051722RFIOVC00003"")","Request for Information- Building Resilience amongst Families affected with HIV Activity","USAID-DOM","forecasted","01/31/2022",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351422"",""72067424RFA00001"")","Health Financing and Public Financial Management Systems Strengthening Activity in South Africa","USAID-SAF","forecasted","12/11/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356671"",""72062024RFA00009"")","USAID Primary Health Care Improvement Program (UPHIP)","USAID-NIG","posted","10/09/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338128"",""72067522APS00002"")","Guinea Local Health System Strengthening (GLHSS)","USAID-GUI","posted","02/16/2022","02/25/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352303"",""720674RFA00006"")","USAID/Lesotho Bophelo Bo Botle (Good Health) Activity","USAID-SAF","forecasted","02/12/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/305335"",""RFI-625-18-RISEII-HSD"")","RISE II HEALTH SERVICES DELIVERY ACTIVITY","USAID-SEN","posted","05/18/2018",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356858"",""DFOP0016988"")","Build Partner Capabilities to Protect Critical Advanced and Emerging Technologies","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356864"",""DFOP0016986"")","Advancing Nuclear Safety, Security, and Nonproliferation through the FIRST Program","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356866"",""DFOP0016992"")","Build Partner Capabilities to Counter the Russian Federation’s Chemical and Biological Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356857"",""DFOP0016984"")","Build Partner Resilience to Counter Proliferator State Hybrid Threats in the Nonproliferation Arena","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356862"",""DFOP0016991"")","Countering WMD and UAS Threats in Iraq","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356867"",""DFOP0016994"")","Nonproliferation Scientist Engagement Program","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356860"",""DFOP0016985"")","Countering Proliferator State Advanced Conventional Weapons Proliferation","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356863"",""DFOP0016993"")","Countering the Russian Federation’s Sanctions Evasion Activities","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356859"",""DFOP0016989"")","Build Partner Capabilities to Counter Global Biological Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356856"",""DFOP0016987"")","Build Partner Capabilities to Protect Semiconductor and CHIPS Technology","DOS-ISN","posted","10/25/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356861"",""DFOP0016990"")","Building Partner Capacity to Counter Chemical Weapons Threats","DOS-ISN","posted","10/26/2024","01/17/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/169333"",""RFA-674-12-000006"")","Service Delivery and Support for Families Caring For Orphans and Vulnerable Children (OVC)","USAID-SAF","posted","05/07/2012",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/348036"",""72067423RFI00004"")","Draft Notice of Funding Opportunity - Children, Adolescents, and Families in the HIV Epidemic in Limpopo Province","USAID-SAF","forecasted","05/10/2023",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/327101"",""720FDA20RFA00004"")","Local Capacity Strengthening for Response (LCS4R)","USAID","posted","05/14/2020",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356865"",""DFOP0016995"")","Countering DPRK and Iran’s WMD, UAS, and Missile Proliferation","DOS-ISN","posted","10/26/2024","01/17/2025"
