OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350597"",""RFA-CA-24-006"")","Translational Research Toward Development of a Kaposi Sarcoma Herpesvirus (KSHV) Vaccine (U01 Clinical Trial Optional)","HHS-NIH11","posted","10/16/2023","12/04/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355911"",""CDC-RFA-IP-25-0007"")","Strengthening Vaccine-Preventable Disease Prevention and Response","HHS-CDC-NCIRD","forecasted","08/07/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/353669"",""7200AA24RFI00017"")","Accelerating HIV Vaccine Research and Development in Low- and Middle-Income Countries (LMIC)","USAID","forecasted","04/22/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/350461"",""PAR-24-037"")","HIV Vaccine Research and Design (HIVRAD) Program (P01 Clinical Trial Not Allowed)","HHS-NIH11","posted","10/04/2023","03/13/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355902"",""RFA-IP-25-111"")","Rapid-Cycle Survey Collaborative for Provider and Public Input on Immunization Issues","HHS-CDC-HHSCDCERA","forecasted","08/06/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/344352"",""PAR-23-033"")","Integrated Preclinical / Clinical AIDS Vaccine Development Program (IPCAVD) (U19 Clinical Trial Not Allowed)","HHS-NIH11","posted","10/31/2022","03/14/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/347659"",""PAR-23-169"")","Innovation for HIV Vaccine Discovery (R01 Clinical Trial Not Allowed)","HHS-NIH11","posted","04/20/2023","08/01/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356534"",""RFA-DP-25-126"")","Health Promotion and Disease Prevention Research Centers: 2025 Special Interest Project Competitive Supplements (SIPS)","HHS-CDC-HHSCDCERA","forecasted","09/25/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356163"",""RFA-OH-26-001"")","Cooperative Research Agreements Related to the World Trade Center Health Program (U01)","HHS-CDC-HHSCDCERA","forecasted","08/22/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/343474"",""PAR-22-225"")","NIAID Investigator Initiated Program Project Applications (P01 Clinical Trial Not Allowed)","HHS-NIH11","posted","09/13/2022","09/07/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/344643"",""PAR-23-065"")","NIAID Resource-Related Research Projects (R24 Clinical Trial Not Allowed)","HHS-NIH11","posted","11/23/2022","01/07/2026"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352012"",""PAR-24-112"")","Understanding Mechanisms and Outcomes of Trained Immunity (R01 Clinical Trial Not Allowed)","HHS-NIH11","posted","01/25/2024","01/07/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/352009"",""PAR-24-111"")","Understanding Mechanisms and Outcomes of Trained Immunity (R21 Clinical Trial Not Allowed)","HHS-NIH11","posted","01/25/2024","01/07/2027"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356714"",""RFA-AI-24-068"")","New Therapeutic Strategies for Genital Herpes (R21/R33 Clinical Trial Not Allowed)","HHS-NIH11","posted","10/15/2024","01/31/2025"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356671"",""72062024RFA00009"")","USAID Primary Health Care Improvement Program (UPHIP)","USAID-NIG","posted","10/09/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356765"",""72052725RFA00001"")","Strengthening Systems for Health Security Activity (SSHS)","USAID-PER","posted","10/18/2024","12/16/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/338128"",""72067522APS00002"")","Guinea Local Health System Strengthening (GLHSS)","USAID-GUI","posted","02/16/2022","02/25/2025"
