OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356085"",""CDC-RFA-JG-25-0143"")","Expanding Efforts and Strategies to Protect and Improve Global Health Security in Kenya","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356178"",""CDC-RFA-JG-25-0175"")","Continuing to Enhance Global Health Security: Sustain Efforts and Strategies to Protect and Improve Public Health Globally","HHS-CDC-GHC","forecasted","08/23/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356176"",""CDC-RFA-JG-25-0167"")","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in Bangladesh","HHS-CDC-GHC","forecasted","08/23/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356589"",""72039124RFA00002"")","Global Health Security (GHS) Activity","USAID-PAK","posted","09/30/2024","11/15/2024"
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356082"",""CDC-RFA-JG-25-0139"")","Support Ethiopia's Capacity to Meet International Health Regulations Requirements","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356092"",""CDC-RFA-JG-25-0157"")","Strengthening Regional Field Epidemiology Training Program (FETP) Networks in Thailand","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356261"",""CDC-RFA-JG-25-0169"")","Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon","HHS-CDC-GHC","forecasted","08/29/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356081"",""CDC-RFA-JG-25-0138"")","Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in the Democratic Republic of the Congo (DRC)","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356091"",""CDC-RFA-JG-25-0154"")","Tanzania Global Health Security Partner Engagement: Advancing Efforts and Strategies to Protect and Improve Public Health","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356089"",""CDC-RFA-JG-25-0151"")","Strengthening Global Health Security: Partnering for GHSA Implementation in Senegal","HHS-CDC-GHC","forecasted","08/15/2024",""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355276"",""RFI-278-24-PFH-PDR-PHC"")","Jordan RFI/SSN: Prevent, Detect, Respond - Primary Health Care (PDR-PHC) Activity","USAID-JOR","forecasted","07/08/2024",""
