OPPORTUNITY NUMBER,OPPORTUNITY TITLE,AGENCY CODE,OPPORTUNITY STATUS,POSTED DATE,CLOSE DATE,Search Term
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356085"",""CDC-RFA-JG-25-0143"")",Expanding Efforts and Strategies to Protect and Improve Global Health Security in Kenya,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356178"",""CDC-RFA-JG-25-0175"")",Continuing to Enhance Global Health Security: Sustain Efforts and Strategies to Protect and Improve Public Health Globally,HHS-CDC-GHC,forecasted,08/23/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356176"",""CDC-RFA-JG-25-0167"")",Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in Bangladesh,HHS-CDC-GHC,forecasted,08/23/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356589"",""72039124RFA00002"")",Global Health Security (GHS) Activity,USAID-PAK,posted,09/30/2024,11/15/2024,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356082"",""CDC-RFA-JG-25-0139"")",Support Ethiopia's Capacity to Meet International Health Regulations Requirements,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356092"",""CDC-RFA-JG-25-0157"")",Strengthening Regional Field Epidemiology Training Program (FETP) Networks in Thailand,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356261"",""CDC-RFA-JG-25-0169"")",Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon,HHS-CDC-GHC,forecasted,08/29/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356081"",""CDC-RFA-JG-25-0138"")",Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in the Democratic Republic of the Congo (DRC),HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356091"",""CDC-RFA-JG-25-0154"")",Tanzania Global Health Security Partner Engagement: Advancing Efforts and Strategies to Protect and Improve Public Health,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356089"",""CDC-RFA-JG-25-0151"")",Strengthening Global Health Security: Partnering for GHSA Implementation in Senegal,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355276"",""RFI-278-24-PFH-PDR-PHC"")","Jordan RFI/SSN: Prevent, Detect, Respond - Primary Health Care (PDR-PHC) Activity",USAID-JOR,forecasted,07/08/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/349656"",""72049223APS00001"")",UNIVERSAL HEALTH CARE PROJECT APS,USAID-PHI,posted,08/01/2023,07/31/2025,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/342948"",""72049222-OH-SSN-00001"")",USAID/Philippines Integrated Health Project,USAID-PHI,forecasted,08/04/2022,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351301"",""72044024RFI00001"")",USAID Strengthening Local Health Security Activity,USAID-VIE,forecasted,12/05/2023,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/344437"",""GVA-SGP-2023-002"")","U.S. Mission to the United Nations-Geneva, Small Grants Program",DOS-USUN,posted,11/10/2022,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351759"",""72049724RFI00002"")",Health System Strengthening (HSS) Flagship Activity in Indonesia,USAID-IND,forecasted,01/10/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356259"",""CDC-RFA-JG-25-0176"")",Protecting and Improving Global Public Health: Strengthening and Sustaining Public Health Systems in Ghana,HHS-CDC-GHC,forecasted,08/29/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/355651"",""CDC-RFA-JG-25-0056"")","Strengthening economic analysis in support of program management for HIV, TB, and related health threats in South Africa (SA) under the President's Emergency Plan for AIDS Relief (PEPFAR)",HHS-CDC-GHC,forecasted,07/25/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/351591"",""GVA-SGP-2024-001"")",U.S. Mission to the United Nations - Geneva Small Grants Program,DOS-USUN,forecasted,01/12/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356083"",""CDC-RFA-JG-25-0140"")","Enhancing Capacity & Accelerating Sustainability of Public Health Systems in India to Prevent, Detect and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies",HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356086"",""CDC-RFA-JG-25-0145"")","Protecting and Improving Public Health Globally: Building and Strengthening Public Health Impact, Health Systems, Capacity Building, and Health Security in Mali",HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356093"",""CDC-RFA-JG-25-0158"")",Improving Health Security and Building International Health Regulations Core Capacities in the Republic of Uganda,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356084"",""CDC-RFA-JG-25-0141"")","Building and Strengthening Public Health Systems, Impact, and Capacity in Indonesia through Partner Collaboration",HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
"=HYPERLINK(""https://www.grants.gov/search-results-detail/356088"",""CDC-RFA-JG-25-0147"")",Strengthening Sub-National International Health Regulations (IHR) (2005) Capacities for the Implementation of the Global Health Security Agenda in Nigeria,HHS-CDC-GHC,forecasted,08/15/2024,,"""global health security"""
